Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;2P;FT;FTA;ORB;DRB;PTS
142;Donovan Mitchell;SG;25;UTA;6;6;38.2;8.8;22.2;1.7;7.2;6.2;7;1;3.3;25.5
145;Ja Morant;PG;22;MEM;9;9;37.6;9;20.4;1.9;7.1;7.2;9.7;1.4;6.6;27.1
158;Royce O'Neale;SF;28;UTA;6;6;31.3;2.3;5.8;1.2;1.2;0.3;0.3;1;4.7;6.2
161;Victor Oladipo;SG;29;MIA;15;1;24.5;3.3;9.1;1.1;2.2;2.8;3.5;0.3;3.1;10.6
163;Chris Paul;PG;36;PHO;13;13;34.5;6.7;11.9;1.5;5.2;2.7;2.8;0.5;3.6;17.5
166;Gary Payton II;PG;29;GSW;12;2;16.9;2.4;3.7;0.7;1.8;1;1.5;1.1;2;6.5
167;Jordan Poole;SG;22;GSW;22;5;27.5;5.9;11.5;2.3;3.6;3;3.2;0.5;2.4;17
168;Otto Porter Jr.;PF;28;GSW;19;3;19.5;2;4.1;1;1;0.4;0.5;0.6;2.8;5.4
169;Bobby Portis;C;26;MIL;12;5;24.8;4;9.6;1.2;2.8;1.4;1.8;2.1;7.9;10.6
180;Pascal Siakam;PF;27;TOR;6;6;43.3;8.5;17.8;0.7;7.8;5.2;6;1.3;5.8;22.8
181;Marcus Smart;PG;27;BOS;21;21;36.2;5.4;13.3;2.3;3.1;2.4;3;1;3.6;15.4
184;Max Strus;SF;25;MIA;18;18;29.1;3.8;10.1;2.6;1.2;0.7;1;0.8;3.2;10.9
185;Jayson Tatum;SF;23;BOS;24;24;41;8.4;19.7;3.2;5.2;5.7;7.1;1;5.7;25.6
187;Daniel Theis;C;29;BOS;16;5;12.5;1.9;3.2;0.2;1.7;0.4;0.5;0.8;2.4;4.3
189;Klay Thompson;SG;31;GSW;22;22;36;7.2;16.7;3.5;3.7;1.2;1.4;0.3;3.6;19
192;Xavier Tillman Sr.;PF;23;MEM;9;6;15.4;2;2.8;0.1;1.9;0.3;0.7;1.4;1.9;4.4
194;Karl-Anthony Towns;C;26;MIN;6;6;37;6.5;13.3;1.7;4.8;7.2;8.3;1.8;9;21.8
195;Gary Trent Jr.;SG;23;TOR;6;6;33.2;5.2;13.7;2.2;3;2.8;3.2;0.2;1.5;15.3
196;P.J. Tucker;PF;36;MIA;18;18;28.3;3;6.1;1.3;1.7;0.6;0.9;1.9;3.7;7.9
198;Jonas Valan?i?nas;C;29;NOP;6;6;29.2;5.5;11.3;0.2;5.3;3.3;4.3;5.5;8.8;14.5
200;Fred VanVleet;PG;27;TOR;4;4;35;4.8;13.5;3;1.8;1.3;1.5;0.5;2.5;13.8
202;Gabe Vincent;PG;25;MIA;18;8;23.5;2.8;7.3;1.4;1.4;1.1;1.1;0.2;1.8;8
203;Nikola Vu?evi?;C;31;CHI;5;5;36.2;8;18.2;2.6;5.4;0.8;1;2.8;9.6;19.4
207;Derrick White;SG;27;BOS;23;3;25.4;2.8;7.7;1.1;1.7;1.8;2.2;0.3;2.7;8.5
209;Andrew Wiggins;SF;26;GSW;22;22;34.9;6.5;13.9;1.6;4.9;1.9;3;2.5;5;16.5
210;Grant Williams;PF;23;BOS;24;5;27.3;2.7;6.3;1.5;1.3;1.8;2.2;1;2.8;8.6
211;Patrick Williams;PF;20;CHI;5;5;30.6;4.4;9.4;1.4;3;1.6;2.2;1.2;4.2;11.8
