FECHA;CÓDIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
11/6/2023;4.3;PAPAS;Joaquin Ramirez;$5 a $10 dólares
5/6/2023;5.1;LECHUGA, PAPAS, ZANAHORIA, CEBOLLA;Av. Pablo Zamora;$5 a $10 dólares
6/6/2023;5.1;CHOCLO, ZANAHORIA, BRÓCOLI;Av. Pablo Zamora;$5 a $10 dólares
7/6/2023;5.1;LECHUGA, PAPAS, CHOCLO, BRÓCOLI, CEBOLLA BLANCA;Av. Pablo Zamora;$10 a $15 dólares
8/6/2023;5.1;CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Pablo Zamora;$10 a $15 dólares
9/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CHOCLO;Av. Pablo Zamora;$10 a $15 dólares
10/6/2023;5.1;CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Pablo Zamora;$5 a $10 dólares
11/6/2023;5.1;CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pablo Zamora;$15 a $20 dólares
5/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dólares
6/6/2023;6.2;LECHUGA, CHOCLO, BRÓCOLI, CEBOLLA BLANCA, AJO;Av. Rocafuerte ;$10 a $15 dólares
7/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, BRÓCOLI;Av. Rocafuerte ;$5 a $10 dólares
8/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Rocafuerte ;$5 a $10 dólares
9/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dólares
10/6/2023;6.2;PAPAS, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dólares
11/6/2023;6.2;LECHUGA, TOMATES, ZANAHORIA, CEBOLLA;Av. Rocafuerte ;$5 a $10 dólares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$10 a $15 dólares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$15 a $20 dólares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$20 a $25 dólares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$15 a $20 dólares
