COD_ENSE;COD_GRADO;Nombre Oficial del Grado 
110;1;Primer año Basico 
110;2;Segundo año Basico
110;3;Tercer año Basico 
110;4;Cuarto año Basico 
110;5;Quinto año Basico
110;6;Sexto año Basico 
110;7;Septimo año Basico 
110;8;Octavo año Basico 
160;1;Alfabetizacion 
160;2;Nivel Basico 1 (primero a cuarto año basico)
160;3;Nivel Basico 2 (quinto a sexto año basico) 
160;4;Nivel Basico 3 (septimo a octavo año basico) 
160;5;Nivel Tecnico 
161;1;Alfabetizacion 
161;2;Nivel Basico 1 (primer a cuarto año basico) 
161;3;Nivel Basico 2 (quinto a sexto año basico) 
161;4;Nivel Basico 3 (sexto a octavo año basico) 
161;5;Nivel Tecnico 
163;1;Alfabetización 
163;2;Nivel Basico 1 (primer a cuarto año basico) 
163;3;Nivel Basico 2 (quinto a sexto basico) 
163;4;Nivel Basico 3 (septimo a octavo basico) 
163;5;Nivel Tecnico 
165;1;Nivel Basico 1 (primer a cuarto año basico) 
165;2;Nivel Basico 2 (quinto a sexto basico) 
165;3;Nivel Basico 3 (septimo a octavo basico) 
167;2;Nivel Basico 2 (quinto a sexto básico) 
167;3;Nivel Basico 3 (septimo a octavo basico) 
310;1;Primer medio 
